"user_id","rank"
4759,"B"
4760,"C"
4762,"C"
4763,"C"
4767,"C"
4768,"C"
4769,"C"
4772,"C"
4773,"AA"
4774,"C"
4775,"C"
4776,"C"
4783,"C"
4786,"C"
4790,"C"
4791,"C"
4794,"C"
4797,"C"
4799,"C"
4801,"C"
4803,"C"
4804,"C"
4805,"C"
4814,"C"
4816,"C"
4824,"C"
4827,"C"
4831,"C"
4832,"C"
4833,"C"
4839,"C"
4845,"A"
4847,"C"
4848,"C"
4849,"C"
4850,"C"
4856,"C"
4860,"C"
4861,"C"
4862,"C"
4863,"C"
4866,"C"
4868,"C"
4882,"C"
4887,"C"
4888,"C"
4889,"C"
4902,"C"
4903,"A"
4905,"B"
4906,"C"
4910,"C"
4917,"A"
4918,"A"
4921,"B"
4926,"C"
4928,"C"
4936,"C"
4939,"C"
4940,"C"
4945,"C"
4948,"C"
4951,"C"
4952,"C"
4958,"C"
4962,"A"
4963,"C"
4966,"B"
4969,"C"
4973,"C"
4982,"C"
4985,"B"
4992,"C"
4998,"C"
5002,"A"
5004,"C"
5009,"C"
5010,"C"
5012,"C"
5014,"C"
5015,"B"
5019,"C"
5021,"B"
5034,"C"
5038,"C"
5039,"C"
5041,"C"
5047,"C"
5049,"C"
5050,"A"
5051,"C"
5052,"C"
5054,"C"
5055,"C"
5058,"C"
5063,"AA"
5065,"C"
5069,"C"
5080,"C"
5083,"B"
5086,"C"
5094,"C"
5096,"C"
5098,"B"
5101,"B"
5109,"B"
5111,"None"
5112,"C"
5114,"C"
5115,"C"
5120,"C"
5123,"C"
5125,"B"
5126,"B"
5128,"C"
5129,"C"
5131,"B"
5133,"C"
5138,"C"
5139,"C"
5141,"None"
5157,"C"
5158,"C"
5160,"C"
5167,"C"
5170,"None"
5179,"C"
5180,"C"
5184,"C"
5193,"C"
5194,"C"
5197,"C"
5205,"C"
5210,"C"
5211,"C"
5213,"C"
5215,"C"
5216,"C"
5218,"B"
5225,"C"
5226,"C"
5228,"C"
5234,"C"
5238,"C"
5243,"B"
5244,"B"
5246,"C"
5247,"C"
5250,"C"
5258,"B"
5259,"A"
5266,"C"
5268,"B"
5269,"C"
5270,"A"
5273,"C"
5274,"C"
5284,"C"
5285,"C"
5294,"C"
5301,"C"
5304,"C"
5306,"C"
5307,"C"
5308,"C"
5309,"C"
5314,"C"
5315,"C"
5324,"B"
5325,"B"
5335,"C"
5342,"C"
5354,"C"
5363,"C"
5371,"C"
5373,"C"
5374,"C"
5393,"C"
5395,"C"
5397,"C"
5398,"C"
5407,"C"
5417,"C"
5419,"C"
5424,"C"
5425,"C"
5429,"C"
5431,"C"
5432,"C"
5435,"A"
5440,"C"
5444,"C"
5448,"C"
5464,"C"
5470,"C"
5471,"C"
5473,"B"
5480,"C"
5485,"C"
5489,"C"
5491,"C"
5499,"C"
5504,"C"
5505,"C"
5506,"C"
5517,"A"
5521,"C"
5524,"C"
5525,"C"
5526,"B"
5531,"C"
5534,"C"
5542,"C"
5543,"C"
5545,"B"
5556,"A"
5562,"B"
5563,"C"
5564,"C"
5565,"C"
5568,"C"
5569,"C"
5572,"B"
5573,"C"
5575,"C"
5579,"C"
5581,"C"
