diff_zip,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,num_hvc,client_rank_label,signup_to_book_interval,booking_interval,income_level,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market
0,3.73,3.73,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,20,0,0,55,24762,1,1,0,0,0
0,4.05,3.73,0.32,0.0,0.0,0.0,0.0,0,0,1,1,1,1,0,1,0,20,0,14,10,24762,0,0,0,0,0
0,4.92,4.92,0.0,139.0,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,0,46,24762,1,1,0,0,0
0,3.73,3.73,0.0,278.0,248.0,0.0,0.10791400000000001,1,0,0,1,1,1,0,0,0,11,0,0,180,20956,0,1,0,0,0
0,4.92,4.28,0.64,169.0,169.0,0.0,0.0,0,1,1,0,0,0,0,0,0,11,0,0,7,20956,1,1,0,0,0
1,3.73,4.88,-1.15,99.0,99.0,0.0,0.0,0,1,1,0,0,0,0,1,0,11,0,0,180,20956,0,1,0,0,0
0,3.73,3.73,0.0,99.0,198.0,0.0,0.131579,1,0,0,1,0,1,0,1,0,11,0,1,18,20956,0,1,0,0,0
0,3.41,3.71,-0.3,278.0,278.0,0.0,0.0,1,0,0,0,1,1,1,0,0,11,0,67,1,20956,0,1,0,0,0
0,3.13,3.73,-0.6,99.0,99.0,0.0,0.0,1,1,0,0,0,0,1,0,0,1,1,0,87,33137,1,1,0,0,0
0,4.96,4.32,0.64,79.0,69.0,0.20202,0.30303,0,0,1,1,0,0,0,1,0,9,0,90,8,42615,1,1,0,0,0
0,4.92,4.92,0.0,198.0,99.0,0.0,0.0,1,0,0,0,1,0,0,0,0,9,0,90,3,42615,1,1,0,0,0
0,3.45,3.73,-0.28,198.0,99.0,0.0,0.0,0,1,1,0,1,0,1,1,0,9,0,0,35,42615,0,1,0,0,0
0,4.92,4.92,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,0,9,0,0,21,42615,1,1,0,0,0
0,3.17,3.17,0.0,198.0,99.0,0.0,0.0,0,1,1,0,1,0,0,0,0,31,0,10,25,52965,0,0,0,0,0
0,2.54,2.54,0.0,139.0,99.0,0.0,0.0,0,0,0,1,0,0,0,0,0,31,0,0,0,52965,0,0,0,0,0
0,3.17,3.17,0.0,99.0,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,0,0,2,52965,0,0,0,0,0
0,2.85,4.01,-1.16,98.0,198.0,0.505051,0.0,0,1,0,0,1,1,1,1,0,31,1,1,161,52965,0,1,0,0,0
0,1.98,3.09,-1.11,198.0,99.0,0.0,0.0,1,0,0,1,1,0,1,0,0,31,0,0,180,52965,0,1,0,0,0
1,2.54,3.13,-0.59,0.0,139.0,1.0,0.0,1,1,0,0,0,0,0,1,0,31,0,4,180,52965,0,0,0,0,0
0,2.54,3.17,-0.63,169.0,139.0,0.0,0.0,1,0,0,1,0,0,0,0,0,31,0,0,180,52965,1,1,0,0,0
0,3.13,3.13,0.0,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,1,0,31,0,0,1,52965,1,1,0,0,0
1,3.13,4.88,-1.75,109.0,139.0,0.215827,0.0,1,0,0,1,0,0,1,1,0,31,1,90,7,52965,1,1,0,0,0
1,3.17,3.17,0.0,99.0,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,0,0,81,52965,1,0,0,0,0
0,3.73,4.92,-1.19,98.0,139.0,0.505051,0.0,1,0,0,1,1,0,1,0,0,31,0,0,180,52965,1,0,0,0,0
0,3.73,3.73,0.0,99.0,198.0,0.0,0.0,0,0,1,1,0,1,0,0,0,31,0,0,48,52965,1,1,0,0,0
0,3.13,3.45,-0.32,198.0,198.0,0.0,0.0,0,1,0,0,1,1,1,1,0,31,0,1,133,52965,1,1,0,0,0
1,2.54,3.73,-1.19,99.0,198.0,0.0,0.0,0,0,1,1,0,1,1,0,0,31,0,0,121,52965,0,1,0,0,0
0,4.96,3.13,1.83,79.0,109.0,0.20202,0.215827,0,1,1,0,0,0,1,1,0,31,0,90,5,52965,1,1,0,0,0
1,3.13,4.96,-1.83,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,31,0,90,180,52965,1,1,0,0,0
0,2.54,2.54,0.0,139.0,139.0,0.0,0.0,0,0,1,0,0,0,0,1,0,31,0,49,22,52965,1,1,0,0,0
0,3.73,3.73,0.0,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,31,0,2,8,52965,0,0,0,0,0
0,4.92,4.88,0.04,99.0,89.0,0.0,0.10101,1,1,0,0,0,0,0,1,0,31,0,90,180,52965,1,1,0,0,0
0,4.92,4.92,0.0,198.0,198.0,0.0,0.0,1,1,0,0,1,1,0,1,0,31,0,0,45,52965,1,1,0,0,0
0,2.58,2.54,0.04,139.0,139.0,0.0,0.0,1,1,0,0,0,0,0,0,0,31,0,6,0,52965,0,1,0,0,0
0,2.58,2.58,0.0,99.0,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,0,0,175,52965,0,0,0,0,0
0,4.92,4.96,-0.04,99.0,99.0,0.0,0.0,0,0,1,1,0,0,1,1,0,31,0,0,180,52965,1,1,0,0,0
0,3.13,3.09,0.04,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,1,0,31,0,6,13,52965,1,1,0,0,0
0,4.32,3.73,0.59,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,1,0,31,0,0,48,52965,1,1,0,0,0
0,4.92,2.54,2.38,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,0,0,31,0,0,0,52965,0,0,0,0,0
1,3.13,3.69,-0.56,69.0,243.0,0.30303,0.076046,1,0,0,0,0,0,1,1,0,31,0,90,26,52965,1,0,0,0,0
1,3.09,3.09,0.0,49.0,99.0,0.505051,0.0,0,1,1,0,0,0,0,0,1,31,0,90,14,52965,1,1,0,0,0
0,4.01,4.92,-0.91,109.0,99.0,0.215827,0.0,1,0,0,1,0,0,0,0,0,31,0,7,180,52965,1,1,0,0,0
0,3.17,3.17,0.0,139.0,139.0,0.0,0.0,0,0,1,1,0,0,0,0,0,20,1,4,7,68806,0,0,0,0,0
0,2.75,2.54,0.21,198.0,79.0,0.0,0.60101,0,0,1,1,1,1,0,1,0,20,0,7,16,68806,0,0,0,0,0
0,4.92,1.9,3.02,99.0,198.0,0.0,0.0,1,1,0,0,0,1,0,0,0,20,0,0,163,68806,1,0,0,0,0
0,2.85,3.71,-0.86,198.0,188.0,0.0,0.050505,1,1,0,0,1,1,0,1,0,20,0,1,180,68806,0,0,0,0,0
0,3.17,2.54,0.63,99.0,99.0,0.0,0.0,0,1,0,0,0,0,0,0,0,20,0,0,8,68806,1,1,0,0,0
0,3.73,3.09,0.64,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,0,0,20,0,90,17,68806,1,1,0,0,0
0,4.32,4.01,0.31,178.0,198.0,0.10101,0.0,0,0,1,0,1,1,0,1,0,20,0,27,157,68806,1,1,0,0,0
0,4.36,3.05,1.31,99.0,99.0,0.0,0.0,0,0,1,1,0,0,1,0,0,20,0,84,152,68806,1,1,0,0,0
1,3.09,3.67,-0.58,99.0,198.0,0.0,0.0,1,1,0,0,0,1,0,1,0,20,0,90,16,68806,1,1,0,0,0
0,3.09,4.92,-1.83,139.0,139.0,0.0,0.0,1,0,0,1,0,0,0,0,0,20,1,90,11,68806,1,1,0,0,0
0,3.17,3.17,0.0,99.0,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,1,28,68806,0,0,0,0,0
0,3.73,4.03,-0.3,99.0,99.0,0.0,0.0,0,1,0,0,0,0,0,1,0,20,0,0,11,68806,1,1,0,0,0
0,3.17,3.73,-0.56,99.0,99.0,0.0,0.0,1,0,0,0,0,0,0,0,0,20,0,0,9,68806,1,1,0,0,0
1,4.03,4.96,-0.93,198.0,99.0,0.0,0.0,1,0,0,1,1,0,0,1,0,20,0,90,180,68806,0,1,0,0,0
0,3.17,3.17,0.0,169.0,278.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,1,21,68806,0,0,0,0,0
0,1.9,3.13,-1.23,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,20,0,0,38,68806,0,1,0,0,0
0,3.17,3.73,-0.56,594.0,594.0,0.0,0.0,0,0,0,0,0,0,0,0,0,16,0,3,146,43918,0,1,0,0,0
0,4.36,1.78,2.58,79.0,99.0,0.20202,0.0,0,0,1,1,0,0,0,0,0,16,0,90,55,43918,0,1,0,0,0
0,3.81,3.73,0.08,139.0,278.0,0.0,0.0,1,0,0,1,0,1,0,1,0,16,0,90,108,43918,0,1,0,0,0
0,4.92,3.13,1.79,99.0,139.0,0.0,0.0,0,0,0,0,0,0,0,0,0,16,0,0,56,43918,1,1,0,0,0
0,3.17,3.69,-0.52,119.0,124.0,0.14388499999999999,0.10791400000000001,0,1,1,0,0,0,1,1,0,16,0,0,180,43918,1,1,0,0,0
0,2.54,4.94,-2.4,99.0,198.0,0.0,0.0,0,1,1,0,0,1,0,1,0,16,0,0,124,43918,0,0,0,0,0
0,3.17,3.17,0.0,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,1,0,16,0,90,81,43918,0,0,0,0,0
1,4.92,4.36,0.56,198.0,139.0,0.0,0.0,0,1,0,0,1,0,1,1,0,16,0,90,29,43918,1,1,0,0,0
0,2.54,2.54,0.0,278.0,198.0,0.0,0.0,0,1,1,0,1,1,1,0,0,17,0,0,29,54878,1,1,0,0,0
0,4.32,4.96,-0.64,5.0,0.0,0.951923,1.0,1,1,0,0,0,0,0,1,0,17,0,90,44,54878,1,1,0,0,0
1,3.99,3.15,0.84,163.0,168.0,0.176768,0.151515,0,1,1,0,1,1,1,1,0,17,0,90,98,54878,1,0,0,0,0
0,3.75,4.92,-1.17,198.0,198.0,0.0,0.0,1,1,0,0,1,1,0,0,0,17,0,1,180,54878,0,0,0,0,0
0,2.58,4.52,-1.94,278.0,118.0,0.0,0.40404,0,0,1,1,1,1,0,0,0,17,0,0,171,54878,1,1,0,0,0
0,3.17,3.09,0.08,139.0,139.0,0.0,0.0,0,0,0,0,0,0,0,0,0,17,0,2,0,54878,0,0,0,0,0
0,4.96,3.69,1.27,69.0,99.0,0.30303,0.0,0,0,1,1,0,0,0,0,0,17,0,90,168,54878,1,0,0,0,0
0,2.54,2.54,0.0,198.0,198.0,0.0,0.0,0,1,0,0,1,1,1,1,0,17,0,4,0,54878,0,0,0,0,0
0,4.32,4.32,0.0,145.0,145.0,0.0,0.0,0,0,1,1,0,0,0,1,1,17,0,90,4,54878,1,1,0,0,0
