diff_zip,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market,signup_to_book_interval,booking_interval,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,income_level,num_hvc
0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0.011111111,0.038888889,0.75,0.59,0.580645161,0.329004329,0.383838384,0,0,0.480515124,0.078651685
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.016666667,0.61,0.746,0.431451613,0.142857143,0.116161616,0,0.30303,0.400399806,0.04494382
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.022222222,1,0.404,0.626,0.388104839,0.157287157,0.234006734,0.215827,0,0.399035389,0.033707865
0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.416666667,0.634,0.992,0.319556452,0.0995671,0.166666667,0.30303,0,0.307886876,0.303370787
0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0.033333333,0.127777778,0.746,0.992,0.376008065,0.200577201,0.284511785,0,0,0.265680599,0.06741573
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.122222222,0.055555556,0.992,0.634,0.680443548,0.200577201,0.234006734,0,0,0.346049763,0.898876404
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.474,0.466,0.504032258,0.157287157,0.244107744,0.215827,0,0.261954516,0.078651685
1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.005555556,0.626,0.738,0.443548387,0.142857143,0.166666667,0,0,0.327129239,0.011235955
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0.027777778,0.618,0.634,0.491935484,0.142857143,0.166666667,0,0,0.901399321,0.033707865
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.066666667,0.194444444,0.674,0.746,0.463709677,0.285714286,0.166666667,0,0,0.204494871,0
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.311111111,0.594,0.976,0.307459677,0.0995671,0.065656566,0.30303,0.606061,0.362894196,0.04494382
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.933333333,0.872,0.634,0.619959677,0.142857143,0.244107744,0,0,0.357513588,0.056179775
0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.85,0.634,0.992,0.319556452,0.142857143,0.166666667,0,0,0.427896667,0.112359551
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.055555556,0.027777778,0.984,0.626,0.680443548,0.113997114,0.166666667,0.20202,0,0.144378918,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.077777778,0.992,0.992,0.5,0.200577201,0.234006734,0,0.177515,0.261954516,0.078651685
0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0.522222222,0.055555556,0.524,0.626,0.44858871,0.171717172,0.234006734,0.143885,0,0.331925098,0.02247191
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.144444444,0.072222222,0.642,0.642,0.5,0.142857143,0.166666667,0,0,0.346670777,0
0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0.433333333,0.011111111,0.754,0.634,0.560483871,0.113997114,0.166666667,0.20202,0,0.20987548,0.640449438
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.044444444,0,0.992,0.5,0.747983871,0.142857143,0.166666667,0,0,0.20987548,0.640449438
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.533333333,0.754,0.746,0.504032258,0.157287157,0.333333333,0.215827,0,0.300566165,0.224719101
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0.011111111,0.127777778,0.618,0.618,0.5,0.200577201,0.217171717,0,0.071942,0.446880652,0.179775281
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.188888889,0.324,0.618,0.351814516,0.200577201,0.234006734,0,0,0.553871817,0.08988764
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.188888889,0.872222222,0.562,0.642,0.459677419,0.285714286,0.234006734,0,0,0.181617084,0.056179775
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394444444,0.984,0.984,0.5,0,0.158249158,1,0.512953,0.408568178,0.269662921
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.044444444,0.016666667,0.372,0.762,0.303427419,0.0995671,0.166666667,0.30303,0,0.231638162,0.157303371
1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.533333333,0.111111111,0.746,0.992,0.376008065,0.215007215,0.468013468,0.118343,0,0.440466531,0.112359551
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.618,0.642,0.487903226,0.235209235,0.166666667,0.15544,0,0.267462048,0
0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0.222222222,0.144444444,0.642,0.682,0.47983871,0.113997114,0.333333333,0.20202,0,0.356765651,0.337078652
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.033333333,0.862,0.984,0.438508065,0.271284271,0.35016835,0.096154,0,0.311109802,0.382022472
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.211111111,0.666,0.872,0.396169355,0.285714286,0.225589226,0,0.035971,0.29557539,0.02247191
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.755555556,0.355555556,0.856,0.678,0.589717742,0.200577201,0.166666667,0,0,0.310670106,0.393258427
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.522222222,0.655555556,0.578,0.738,0.419354839,0.256854257,0.316498316,0.10101,0.050505,0.266183757,0.123595506
0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0.166666667,0.3,0.606,0.856,0.373991935,0.209235209,0.244107744,0,0,0.349880104,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.161111111,0.356,0.356,0.5,0.200577201,0.234006734,0,0,0.583422104,0.02247191
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.616666667,0.88,0.88,0.5,0.200577201,0.234006734,0,0,0.29557539,0.02247191
0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0.984,0.984,0.5,0,0,0,0,0.21253632,0.04494382
1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0.394444444,0.626,0.746,0.439516129,0.142857143,0.166666667,0,0,0.192119924,0.06741573
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0.033333333,0.077777778,0.78,0.7,0.540322581,0.401154401,0.468013468,0,0,0.203973582,0.213483146
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.61,0.992,0.307459677,0.171717172,0.14983165,0.143885,0.10101,0.414497273,0.04494382
0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0.238888889,0.618,0.992,0.311491935,0.142857143,0.166666667,0,0,0.298843645,0.033707865
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.73,0.602,0.564516129,0.142857143,0.166666667,0,0,0.61003504,0.202247191
0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.4,0.083333333,0.864,0.992,0.435483871,0.113997114,0.166666667,0.20202,0,0.171989103,0.224719101
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0.033333333,0.272222222,0.492,0.992,0.247983871,0.186147186,0.284511785,0.071942,0,0.414497273,0.04494382
