user_id,interval_between_bookings,not_book_interval,rank
96361,161,161,C
96401,NULL,263,C
96470,NULL,126,C
96480,NULL,86,B
96491,NULL,302,C
96527,67,67,B
96620,33,33,B
96709,NULL,231,C
96907,11,11,AA
97009,NULL,167,C
97277,27,27,C
97294,344,344,B
97395,NULL,99,B
97518,NULL,12,B
97520,6,6,B
97598,6,6,AA
97702,20,20,B
97850,NULL,113,B
97882,61,61,B
98046,18,18,C
98052,NULL,231,C
98137,15,15,B
98146,306,306,C
98268,NULL,141,C
98480,35,35,B
98790,NULL,229,C
99011,89,89,B
99083,34,34,B
99174,24,24,B
99201,21,21,B
99313,83,83,B
99338,NULL,213,C
99466,23,23,B
99489,NULL,267,C
99498,NULL,100,C
99608,34,34,B
99647,NULL,106,B
99688,29,29,B
99775,NULL,344,C
99803,NULL,138,B
99898,0,0,B
100003,1,1,A
100474,NULL,238,C
100491,NULL,44,C
100653,NULL,78,C
100990,NULL,38,B
101113,NULL,9,B
101154,252,252,C
101157,145,145,B
101290,NULL,224,C
101330,8,8,C
101421,NULL,250,C
101434,NULL,48,C
101579,2,2,A
101656,NULL,228,C
101713,11,11,AA
101941,NULL,206,C
102088,NULL,51,B
102094,NULL,174,C
102498,NULL,70,B
102599,31,31,B
102686,NULL,174,C
102828,NULL,156,C
102870,20,20,B
102911,NULL,19,B
102982,12,12,B
103177,NULL,90,C
103386,NULL,40,B
103600,67,67,C
103627,NULL,113,B
103917,NULL,103,C
104083,NULL,86,C
104173,32,32,A
104470,NULL,75,C
104843,30,30,A
105086,58,58,B
105285,10,10,A
105490,NULL,155,C
105536,NULL,196,C
105698,NULL,283,C
105732,141,141,B
105757,NULL,150,C
105770,7,7,B
105826,2,2,AA
105853,NULL,4,B
105922,NULL,40,C
105984,NULL,286,C
106032,43,43,C
106061,117,117,B
106114,2,2,B
106390,6,6,B
106401,NULL,207,C
106442,14,14,A
106477,20,20,A
106571,6,6,A
106581,NULL,139,B
106617,9,9,A
106833,6,6,B
106989,NULL,71,C
107076,NULL,82,C
107172,NULL,286,C
107250,54,54,B
107510,39,39,B
107538,13,13,B
107626,24,24,B
107780,52,52,B
107819,NULL,237,C
108124,NULL,19,C
108213,NULL,86,C
108391,NULL,1,B
108433,5,5,B
108519,19,19,B
108611,NULL,203,C
108784,79,79,B
108817,49,49,B
108996,36,36,B
109049,35,35,A
109143,NULL,304,C
109357,NULL,137,C
109718,NULL,45,B
